Enrichr_Libraries_Most_Popular_Genes
TargetScan microRNA 2017	44/101	3.918691e-24	4.702430e-22	0	0	6.067459	327.01350	RAB3B;ANKRD33B;ONECUT2;NUFIP2;RORA;CACNA1E;LPP;IGF1R;PTAR1;KIAA1549;IPO9;ZNF704;UBN2;LAMP2;NSD2;PDK3;ABL2;KIF1B;SOX6;DLGAP2;PLXNA4;SCAI;NTRK2;POU2F1;CBX5;HELZ;PARVA;C1ORF21;ACVR2B;DCLK1;QKI;HIPK2;ENAH;FMNL3;PPM1A;NFASC;CDK6;SESTD1;TAOK1;KCNMA1;LCOR;BRWD1;ZNF652;TNRC6B
TargetScan microRNA	48/127	6.070651e-23	3.642390e-21	0	0	5.263966	269.28340	OTUD4;DDX3Y;DDX3X;PLAG1;SATB2;AFF4;BACH2;RPS6KA3;ZNF609;PCDHA1;TP53INP1;PCDHA5;PCDHA4;PCDHA3;E2F3;RICTOR;PCDHA2;PCDHA9;KPNA3;PCDHA8;PCDHAC2;PCDHA7;PCDHAC1;PCDHA6;MBNL2;BCL11B;FBXW7;SEMA6D;FNDC3B;ESRRG;PCDHA13;PCDHA12;PCDHA11;RSBN1;PCDHA10;QKI;ACVR2A;RAP2C;SON;RPS6KB1;TBL1XR1;KCNMA1;BRWD1;CPEB3;CPEB2;OGT;PAFAH1B1;TNRC6B
miRTarBase 2017	29/102	7.348305e-11	2.939322e-09	0	0	3.959801	 92.39787	LRRC58;BTG2;NUFIP2;KLHL15;PTEN;FOXK1;ARPP19;DCAF7;IGF1R;TMEM245;CCND2;CCND1;ZMAT3;UBN2;SHOC2;CBX6;YOD1;SKI;WEE1;CDK6;AGO3;ABI2;CRISPLD2;NFIC;TAOK1;CREBRF;LCOR;NFE2L1;TNRC6B
WikiPathways 2016	24/104	2.521792e-07	7.565376e-06	0	0	3.214056	 48.83156	MAP2K3;MAP2K1;CHUK;IRS1;PRKCD;PTEN;PIK3R1;IGF1;FOXO1;VEGFA;IKBKB;CDC42;MAPK9;CCND3;MAPK8;CCND2;CCND1;APC;RPS6KB1;BCL2;KRAS;RAF1;MAP3K7;MAP2K6
TF-LOF Expression from GEO	26/124	6.022821e-07	1.445477e-05	0	0	2.920298	 41.82609	TFRC;PTEN;SLC2A3;LPP;RTN4;CCND2;CCND1;LAMP2;GRB10;AP1S2;SSR1;PDLIM5;EIF4B;FDFT1;SLC12A2;CBX5;CADM1;PPP2R5C;FOSL2;HIPK2;ENAH;FKBP1A;TBL1XR1;CPD;CALM1;PAFAH1B1
Virus Perturbations from GEO down	25/119	9.488407e-07	1.897681e-05	0	0	2.925961	 40.57731	DAZAP2;DIXDC1;PTEN;CREBL2;CLCN3;AMOT;LRP6;PCM1;UBL3;FNTA;ARIH1;SH3GL2;VTI1B;HSPA8;MBNL2;NEBL;CMTM4;STRBP;PARVA;DYNC1LI2;TBL1XR1;GNAQ;MMS19;NHLRC2;BRWD1
WikiPathways 2015	24/114	1.495169e-06	2.563146e-05	0	0	2.932121	 39.32934	MAP2K3;MAP2K1;CHUK;ROCK1;IRS1;PRKCD;PTEN;PIK3R1;IGF1;VEGFA;IKBKB;CDC42;MAPK9;MAPK8;CCND2;CCND1;APC;RPS6KB1;TRAF6;BCL2;KRAS;RAF1;MAP3K7;MAP2K6
ChEA 2016	22/104	3.715882e-06	5.573823e-05	0	0	2.946218	 36.83625	NRP2;POU2F1;IRS1;CHD9;IRF2BP2;SLC39A10;NAV1;LAMC1;RUNX1;SMAD7;FOSL2;ABTB2;ENAH;KLF7;WEE1;NUAK2;TBL1XR1;PIM1;PLXNA2;CALM1;JARID2;ATF6
WikiPathways 2013	24/122	5.244729e-06	6.992973e-05	0	0	2.739851	 33.31190	MAP2K3;MAP2K1;CHUK;IRS1;TXNRD2;PRKCD;PIK3R1;IGF1;FOXO1;CRKL;IGF1R;IKBKB;CDC42;MAPK9;MAPK8;CCND2;CCND1;RPS6KB1;BCL2;RAPGEF1;KRAS;RAF1;MAP3K7;MAP2K6
Human Gene Atlas	23/116	7.134680e-06	8.561616e-05	0	0	2.761502	 32.72530	CAST;EIF5A;B4GALT1;NUP210;ABHD2;SAMD4A;PIK3R1;CAMSAP1;RUNX1;FOSL2;SCUBE3;PPP2R1B;GNAQ;CPD;STK38;NF1;TNIK;NF2;PDLIM5;CSMD1;TRPM3;KLHDC10;ASB1


GO_Molecular_Function_2018
protein kinase activity (GO:0004672)	90/513	1.630030e-15	1.876164e-12	0	0	2.443434	83.19938	RET;DDR1;CCNT2;DYRK2;CCNT1;FLT3;LRRK1;FGF1;FGF2;IGF1R;IKBKB;RPS6KA3;FGF7;RPS6KA6;ZMYM2;FGF9;FASTK;AKT3;CHEK1;PIM1;PDK4;TLK1;PDK3;PIM3;MAP3K9;STK32A;MAP3K7;MAP3K4;PRKG1;PSKH1;MAP2K3;MAP2K1;EPHA7;KSR1;CHUK;MMD;STRADB;PRKCD;MINK1;DYRK1B;NRBP1;UHMK1;BCR;LATS2;SIK1;TNIK;EPHA1;SGK1;RAF1;PRKAA1;PKDCC;ROCK1;CAB39;ROCK2;PELI2;PPM1D;CDC42;STK33;MAPK8;NUAK2;IRAK2;MKNK1;STK38;PHKG2;ABL2;MAP2K6;CDK17;NTRK2;DMPK;INSR;ERLIN2;ACVR2B;HIPK3;DCLK1;ACVR2A;HIPK2;SRPK1;CDK8;SNRK;WEE1;RPS6KB1;TAOK1;WNK3;FGF18;NEK10;MAP3K13;FGFR4;CDK5R1;FGFR1;BMPR1A
protein serine/threonine kinase activity (GO:0004674)	69/368	1.321437e-13	7.604872e-11	0	0	2.611421	77.44138	CCNT2;DYRK2;CCNT1;LRRK1;MYLK3;MYLK;MYLK4;IKBKB;RPS6KA3;RPS6KA6;CCND1;FASTK;CHEK1;AKT3;PIM1;PDK3;TLK1;PIM3;MAP3K9;STK32A;MAP3K7;MAP3K4;PRKG1;PSKH1;MAP2K3;MAP2K1;CHUK;STRADB;PRKCD;MINK1;NRBP1;UHMK1;LATS2;SIK1;TNIK;SGK1;RAF1;PRKAA1;CAB39;ROCK1;ROCK2;PELI2;PPM1D;CDC42;STK33;MAPK8;NUAK2;IRAK2;MKNK1;STK38;PHKG2;MAP2K6;CDK17;DMPK;HMGA2;ACVR2B;DCLK1;HIPK3;ACVR2A;SRPK1;HIPK2;CDK8;SNRK;CDK6;RPS6KB1;TAOK1;WNK3;MAP3K13;BMPR1A
ubiquitin protein ligase activity (GO:0061630)	39/192	2.650899e-09	1.017062e-06	0	0	2.829039	55.86890	UBE3C;PPP1R11;CUL2;PELI2;CBLC;UBR3;UBE2J1;CDC42;ZNRF2;ZNRF3;HECTD1;RNF138;HECTD4;RNF217;RBBP6;ARIH1;TMEM189-UBE2V1;BTRC;RNF111;RNF43;AREL1;ANKIB1;UBE2B;SMURF2;SMURF1;SIAH1;UBE4A;WWP1;UBE4B;BFAR;RNF41;RNF144B;RNF125;RLIM;UBE2V1;RNF183;UBE2K;CACUL1;ASB1
ubiquitin-like protein ligase activity (GO:0061659)	38/186	3.569681e-09	1.027176e-06	0	0	2.845419	55.34564	UBE3C;PPP1R11;CUL2;PELI2;CBLC;UBR3;UBE2J1;CDC42;ZNRF2;ZNRF3;HECTD1;RNF138;HECTD4;RNF217;RBBP6;TMEM189-UBE2V1;ARIH1;BTRC;RNF111;RNF43;AREL1;ANKIB1;UBE2B;SMURF2;SMURF1;SIAH1;WWP1;BFAR;PIAS2;RNF41;PIAS1;RNF144B;RNF125;RLIM;UBE2V1;RNF183;CACUL1;ASB1
ubiquitin-protein transferase activity (GO:0004842)	62/417	3.483775e-08	8.019651e-06	0	0	2.070767	35.56038	PPP1R11;UBE3C;FBXO27;CBLC;TNFAIP1;FBXO21;FBXO22;BACH2;TRIM9;CDC23;ARIH1;TMEM189-UBE2V1;BTRC;RNF111;RNF43;AREL1;ZER1;FBXW7;UBE2QL1;FBXO10;RNF41;RNF144B;RNF125;TRAF3;GAN;TRAF6;UBE2V1;CACUL1;KLHL18;KLHL15;PELI2;CUL2;UBR3;UBE2J1;FBXL20;CDC42;ZNRF2;RNF213;ZNRF3;HECTD1;RNF138;HECTD4;RNF217;RBBP6;ANKIB1;UBE2B;SMURF2;KLHL26;SMURF1;SIAH1;WWP1;KLHDC8B;BFAR;MARCH4;CHFR;MIB1;KBTBD2;RLIM;RNF183;UBE2K;SPSB4;ASB1
