"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "protein phosphorylation (GO:0006468)" "86/470" 5.45444789920925e-16 2.78340476296648e-12 0 0 2.54845018668879 89.5651036331888 "RET;DDR1;APP;DYRK2;CCNT1;FLT3;MYLK3;MYLK4;IGF1R;IKBKB;LIPE;RPS6KA3;RPS6KA6;FASTK;AKT3;CHEK1;PIM1;TLK1;PDK3;PIM3;MAP3K9;STK32A;MAP3K7;PSKH1;MAP2K1;KSR1;CHUK;PRKCD;MINK1;DYRK1B;ADAM10;PHKA1;NRBP1;CDC25B;UHMK1;BCR;TGFBR3;LATS2;CCNE1;SIK1;TNIK;EPHA1;SGK1;RAF1;PRKAA1;USP15;PKDCC;CAB39;ROCK2;MAPK9;STK33;MAPK8;NUAK2;RELN;IRAK2;MKNK1;STK38;PHKG2;ABL2;MAP3K21;RICTOR;CLSPN;FNIP2;MAP2K6;CDK17;NTRK2;DMPK;INSR;HIPK3;DCLK1;HIPK2;SRPK1;SMAD7;CDK8;SNRK;CDK6;ABI2;RPS6KB1;TAOK1;WNK3;NEK10;MAP3K13;FGFR4;CDK5R1;FGFR1;BMPR1A"
"2" "phosphorylation (GO:0016310)" "63/386" 6.61547539213749e-10 1.68793854630388e-06 0 0 2.27315369405516 48.0463750038985 "RET;APP;PANK2;DYRK2;CCNT1;MYLK3;IKBKB;LIPE;RPS6KA3;RPS6KA6;FASTK;AKT3;CHEK1;PIM1;TLK1;PIM3;MAP3K9;MAP2K1;EPHA7;KSR1;CHUK;PRKCD;MINK1;DYRK1B;ADAM10;PHKA1;NRBP1;CDC25B;BCR;LATS2;CCNE1;SIK1;TNIK;SGK1;RAF1;PRKAA1;ROCK2;MAPK9;MAPK8;NUAK2;IRAK2;MKNK1;STK38;PHKG2;MAP3K21;FNIP2;CDK17;DMPK;INSR;HIPK3;DCLK1;HIPK2;SRPK1;CDK8;SNRK;CDK6;RPS6KB1;TAOK1;WNK3;NEK10;MAP3K13;FGFR1;BMPR1A"
"3" "ubiquitin-dependent protein catabolic process (GO:0006511)" "57/341" 1.74728737199239e-09 2.97213581975906e-06 0 0 2.32806998913567 46.9460000290631 "PPP1R11;UBE3C;CBLC;TNFAIP1;FBXO21;FBXO22;TRIM9;PSMD7;CDC23;CDC27;ARIH1;BTRC;RNF111;RNF43;AREL1;USP44;UBE4A;UBE4B;ARMC8;PPP2R5C;FBXO10;PSMA5;RNF144B;RNF125;TBL1XR1;PSME3;CLOCK;CACUL1;AMER1;KLHL18;KLHL15;CUL2;VPS4A;UBR3;ZNRF2;RNF213;ZNRF3;OS9;HECTD4;RNF217;RBBP6;PSMF1;ANKIB1;RANBP3;UBE2B;SMURF2;SMURF1;SIAH1;WWP1;BFAR;CHFR;ABTB2;APC;RLIM;UBAP1;UBE2K;SPSB4"
"4" "modification-dependent protein catabolic process (GO:0019941)" "32/141" 4.14063546692522e-09 5.28241569692985e-06 0 0 3.16086844860625 61.012399506784 "PPP1R11;KLHL15;CBLC;UBR3;FBXO21;FBXO22;CDC23;RNF213;ZNRF3;OS9;RNF217;RBBP6;PSMF1;ARIH1;BTRC;ANKUB1;RNF43;AREL1;RANBP3;UBE2B;SMURF2;SMURF1;SIAH1;UBE4A;UBE4B;BFAR;FBXO10;CHFR;RNF144B;RNF125;RLIM;UBE2K"
"5" "cellular protein modification process (GO:0006464)" "118/1001" 5.05684464315466e-08 5.16101564280365e-05 0 0 1.64181222677044 27.5823436887622 "APP;CCNT1;CSF1;FBXO27;DCAF8;FBXO21;DCAF5;FBXO22;MYLK3;DCAF7;LIPE;RPS6KA3;PTAR1;RPS6KA6;PSMD7;PPP2R1A;AKT3;CHEK1;PIM1;PIM3;MAP3K9;BTRC;MAP2K1;FBXW7;PRKCD;COG3;ADAM10;DYRK1B;PHKA1;FBXO10;PDIA6;NRBP1;CDC25B;BCR;CCNE1;PSME3;SIK1;TNIK;RAF1;MTMR3;CUL2;DCUN1D1;COPS7B;MTMR4;NUAK2;MAN2A2;IRAK2;STK38;ABL2;MAP3K21;PSMF1;SOCS6;SOCS5;LHPP;WDTC1;CDK17;DMPK;ZBTB16;INSR;ST8SIA3;DCLK1;SRPK1;PTPRD;CDK8;CDK6;WNK3;CALU;MAP3K13;FGFR1;BMPR1A;RET;PTPRR;DYRK2;PTEN;PTPRM;LAMC1;IKBKB;PPP6C;FASTK;TLK1;KSR1;CHUK;MINK1;WIPI2;DUSP9;PSMA5;PPM1A;LATS2;GAN;B3GNT2;SGK1;PHLPP2;PRKAA1;ROCK2;GLRX;PPM1D;FSTL1;FBXL20;MAPK9;MAPK8;MKNK1;PHKG2;DCAF10;FNIP2;USP25;HS3ST5;HIPK3;HIPK2;SNRK;RPS6KB1;TAOK1;MGAT4A;NEK10;ASB7;PTPN4;SPSB4;PTPN3;ASB1"
"6" "positive regulation of transcription, DNA-templated (GO:0045893)" "128/1120" 8.05630237225245e-08 6.85188516760071e-05 0 0 1.59172304019101 25.9995639561408 "APP;PID1;CCNT2;CRTC3;CCNT1;CD80;RORA;RBPJ;FGF1;FGF2;ELK4;HOXA10;RPS6KA3;ZNF609;SALL1;MYB;CHEK1;EPC1;BTRC;ATXN7L3;RNF111;MAP2K3;SUPT16H;MAP2K1;RFX3;DYRK1B;ATP1B4;PIAS2;PIAS1;RUNX1;KARS;CCNE1;TBL1XR1;TBPL1;PHIP;UBE2V1;ATF6;CLOCK;CASZ1;KMT2A;CREBL2;PIK3R1;FOXO1;NPAS3;TASP1;RPRD1B;NDP;OTX1;ZNF423;RREB1;BCL9L;WNT4;BPTF;TFAP2A;ESRRA;ZFHX3;POU2F1;BCL11B;FZD4;WNT3A;ZBTB16;HMGA1;NFATC3;HMGA2;ESRRG;IGF1;ESR2;FOSL2;SMAD7;FOSL1;CDK8;LHX3;AGO1;LHX1;CREBRF;MMS19;OGT;NFE2L1;PHF19;BMPR1A;RET;CSRNP1;DDX3X;SETD3;THRB;ONECUT2;ELL;MEOX2;LITAF;IRF2BPL;IKBKB;FLCN;ING2;MYBL1;TEAD1;GABPA;YWHAH;CHUK;ETV1;DCN;RGMA;PPM1A;TRAF6;TET3;TFEC;RARB;YAP1;PLAG1;PTH;NR2C2;DLL1;LRP6;PLAGL1;TP53INP1;E2F3;E2F7;TAF15;PCGF5;MACC1;WNT7A;ACVR2A;VEGFA;HIPK2;SKI;KLF7;RYBP;NFIC;NAA15"
"7" "regulation of transcription from RNA polymerase II promoter (GO:0006357)" "159/1478" 1.12186746088168e-07 8.17841378982744e-05 0 0 1.49829815944908 23.9774167414023 "APP;PID1;CCNT2;CRTC3;CCNT1;MYT1L;WWC1;RORA;NUCKS1;RBPJ;FGF1;FGF2;ARHGAP35;ELK4;HOXA10;RPS6KA3;ZNF609;SALL1;CCND1;MYB;EPC1;RNF111;SSU72;RFX3;ATP1B4;KCTD1;DICER1;HCFC2;POU3F2;RUNX1;DMTF1;TBL1XR1;TBPL1;PHIP;ZNF831;CLOCK;ATF6;KMT2A;SRCAP;PIK3R1;FOXO1;PHF21A;NPAS3;ZBTB2;HMBOX1;ZNF704;RPRD1B;OTX1;RREB1;SKIL;BCL9L;BPTF;TFAP2A;ESRRA;ZFHX3;CBX6;TFAP2D;CBX5;POU2F1;BCL11B;CBX4;SMURF2;WNT3A;SMURF1;ZBTB16;PTCH1;CBX2;HMGA1;NFATC3;HMGA2;IGF1;ESR2;FOSL2;SMAD7;FOSL1;CDK8;LHX3;AGO1;CREBRF;MAFK;CPEB3;BRWD1;OGT;NFE2L1;CC2D1B;BMPR1A;CSRNP1;TENM2;DDX3X;SETD3;THRB;ONECUT2;BHLHE41;TFCP2L1;CHD2;MEOX2;LITAF;IRF2BPL;IKBKB;TMEM100;FLCN;ZMYM2;MYBL1;ZNF367;TEAD1;GABPA;ZHX3;TGIF2;CHUK;EED;ETV1;MED26;ZHX1;DCN;RGMA;NCOR2;TGFBR3;PPM1A;TRAF6;MED20;TET3;TFEC;RARB;YAP1;USP15;PLAG1;PTH;SATB2;FOXK1;TRAK1;NR2C2;FSTL1;DLL1;LRP6;DLL4;MNT;ELMSAN1;PLAGL1;CREG1;E2F3;FNIP2;E2F7;SPEN;USP9X;PCGF5;MBD1;MACC1;WNT7A;ACVR2B;ACVR2A;GATAD2A;TARBP1;VEGFA;HIPK2;SKI;KLF7;NFIC;PDCD4;PPIL4"
"8" "protein ubiquitination (GO:0016567)" "69/506" 1.88538445984675e-07 0.000120263961232475 0 0 1.899214991137 29.4073763485246 "UBE3C;FBXO27;CBLC;TNFAIP1;FBXO21;FBXO22;BACH2;NPEPPS;PSMD7;ARIH1;BTRC;RNF111;ANKUB1;ARRDC4;RNF43;AREL1;FBXW7;UBE4A;UBE4B;FBXO10;RNF41;PSMA5;RNF144B;RRAGA;RNF125;SELENOS;GAN;PSME3;TRAF6;PEX5;UBE2V1;CACUL1;KLHL18;KLHL15;PELI2;CUL2;UBR3;FBXL20;ZNRF2;RNF213;ZNRF3;HECTD1;OS9;RNF138;HECTD4;RNF217;RBBP6;PSMF1;ANKIB1;UBE2B;SMURF2;USP9X;KLHL26;SMURF1;SIAH1;WWP1;KLHDC8B;BFAR;CHFR;MIB1;ABTB2;UVSSA;KBTBD2;RLIM;BCL2;RNF183;UBE2K;SPSB4;ASB1"
"9" "positive regulation of gene expression (GO:0010628)" "93/771" 5.06445224424527e-07 0.000287154442248707 0 0 1.67998005701094 24.3527383455675 "RET;APP;PID1;DDX3X;SETD3;CSF1;CD80;RORA;CD3E;FGF2;IKBKB;TRMT112;EPB41L4B;ING2;SALL1;MYB;EPC1;BTRC;ATXN7L3;MYBL1;TEAD1;RNF111;GABPA;YWHAH;MAP2K3;MAP2K1;TBP;CHUK;RFX3;DYRK1B;PIAS2;PIAS1;RUNX1;PPM1A;KARS;CCNE1;TBL1XR1;PHIP;UBE2V1;CLOCK;YAP1;PRKAA1;CASZ1;KMT2A;ROCK1;ROCK2;CREBL2;PIK3R1;FOXO1;NPAS3;LRP6;DLL4;MAPK9;MAPK8;TP53INP1;TASP1;NDP;DRD1;ZNF423;RREB1;WNT4;BPTF;TFAP2A;NTRK2;ZFHX3;TAF15;FZD4;WNT3A;ZBTB16;SAMD4A;HMGA1;WNT7A;HMGA2;ESRRG;IGF1;ESR2;VEGFA;HIPK2;MYO1C;RYBP;LHX3;RPS6KB1;LHX1;FUBP1;CD28;KRAS;MMS19;NAA15;CPEB3;FGFR4;NFE2L1;LIMS1;PHF19"
"10" "regulation of cell migration (GO:0030334)" "48/316" 6.41032009288555e-07 0.000327118634339949 0 0 2.11558125595007 30.1685831489403 "RET;KANK1;CSF1;SEMA3D;SEMA3A;PTEN;PTPRJ;LDLRAD4;FGF1;CX3CL1;MYLK;AMOT;IGF1R;FLCN;PARD6B;DACH1;PODXL;FAM110C;TP53INP1;GNA12;PLXNA2;HAS2;PLXNC1;DRD1;SLIT2;SRGAP1;SCAI;PLXNA4;INSR;ARHGEF39;MINK1;ADAM10;IGF1;VEGFA;RNF41;SMAD7;RAP2C;MYO1C;APC;MYADM;NF1;PLXNB1;AMOTL1;NF2;EPHA1;SGK1;RECK;VCL"
