"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Mesodermal Commitment Pathway WP2857" "29/147" 7.30088657609647e-06 0.00344601846391754 0 0 2.41024937769854 28.5072601102658 "YAP1;GATA3;NLK;C9ORF72;PHF6;ELK4;MBTD1;ZIC2;UBR5;DIP2A;ASCC3;JARID2;TEAD1;LEFTY2;WNT3;SMAD2;WDHD1;AXIN1;TET1;INHBA;ZIC5;DKK1;ZFHX4;GRHL2;ACVR2B;CCDC88A;AEBP2;RGS10;BMPR1A"
"2" "ErbB Signaling Pathway WP673" "21/91" 1.08959056367006e-05 0.00257143373026134 0 0 2.81941638080917 32.2178190939039 "GSK3B;CAMK2A;GAB1;CBLB;NRG1;PRKCA;BRAF;PIK3CB;EGFR;CRKL;EREG;BTC;MAPK10;PIK3CA;AKT3;PLCG2;ABL2;KRAS;GRB2;NCK1;HBEGF"
"3" "Endometrial cancer WP4155" "16/63" 3.41019755503651e-05 0.00536537748659077 0 0 3.10284977358893 31.9163944616447 "GSK3B;AXIN1;BRAF;PIK3CB;FGF1;FGF2;EGFR;CASP9;PIK3CA;APC;AKT3;CTNNA3;KRAS;GRB2;POLK;FGFR2"
"4" "Endoderm Differentiation WP2853" "26/141" 7.10293377783473e-05 0.00838146185784499 0 0 2.25286698986643 21.5203261901185 "WWC1;CTR9;NR3C1;NLK;PHF6;ELK4;MBTD1;BTAF1;UBR5;DIP2A;ASCC3;JARID2;WNT3;BPTF;SMAD2;WDHD1;TET1;FOXN3;ZIC5;DKK1;ZFHX4;GRHL2;AEBP2;APC;RGS10;BMPR1A"
"5" "Epithelial to mesenchymal transition in colorectal cancer WP4239" "28/159" 8.872700339872e-05 0.00837582912083917 0 0 2.15150432413949 20.0734197650206 "GSK3B;PIK3CB;HIF1A;CLDN22;DLL4;RBBP4;AKT3;MEF2D;WNT3;MAP2K6;SMAD2;FZD3;FZD2;JAG1;TGFBR1;DLK1;MAPK13;CLDN11;OCLN;ZEB2;ZEB1;PIK3CA;COL4A1;TRAF6;SNAI2;STRAP;GRB2;KRAS"
"6" "Signaling Pathways in Glioblastoma WP2261" "18/82" 9.13822803819123e-05 0.00718873939004377 0 0 2.68188387442824 24.9427509289314 "PDGFRA;PRKCH;GAB1;PRKCA;BRAF;PIK3CB;PIK3C2A;EGFR;CDK6;PIK3CA;AKT3;PLCG2;NF1;MDM4;KRAS;GRB2;FGFR2;MAP2K6"
"7" "Endochondral Ossification WP474" "15/64" 0.000159238003303768 0.0107371910799112 0 0 2.86346976175932 25.0413597629678 "HDAC4;MEF2C;FGF2;RUNX2;GHR;ADAMTS4;ADAMTS5;ACAN;IFT88;CHST11;FRZB;MGP;ENPP1;SOX6;BMPR1A"
"8" "ESC Pluripotency Pathways WP3931" "22/116" 0.00016292094798813 0.00961233593129969 0 0 2.31710656583742 20.2103722160255 "PDGFRA;GSK3B;FZD3;FZD2;GAB1;AXIN1;BRAF;PTPN11;FGF1;FGF2;EGFR;FGF7;APC;AKT3;DVL3;GRB2;IL6ST;BMPR1B;WNT3;FGFR2;MAP2K6;BMPR1A"
"9" "Ras Signaling WP4223" "30/184" 0.000212132076536192 0.0111251489027869 0 0 1.99197896470213 16.8487586148082 "FLT1;RASAL2;PIK3CB;RASGRP1;ETS2;EGFR;GRIN2A;AKT3;PLCG2;ABL2;SHOC2;PDGFRA;PLA2G12A;KSR1;CHUK;GAB1;PRKCA;PTPN11;GNG12;GRIN2B;MAPK10;PIK3CA;RASA2;GNB4;NF1;REL;GRB2;KRAS;FGFR2;ARF6"
"10" "B Cell Receptor Signaling Pathway WP23" "19/97" 0.000288833476010905 0.0136329400677147 0 0 2.39311287305796 19.5030568397636 "GSK3B;MEF2C;CHUK;CAMK2A;GAB1;DAPP1;BRAF;PTPN11;CRKL;PTPRC;CREB1;INPP5D;PLCG2;REL;GRB2;MAP3K7;MEF2D;MAP2K6;NCK1"
"11" "Adipogenesis WP236" "23/130" 0.000339657894129372 0.0145744114571876 0 0 2.16155255862037 17.2655559169974 "WWTR1;MEF2C;IRS4;EBF1;NR2F1;RORA;AHR;GATA3;NR3C1;HIF1A;DLK1;SFRP4;BMP3;CREB1;NCOR1;FRZB;FAS;PLIN1;IL6ST;PPARGC1A;RXRG;MEF2D;LPIN2"
"12" "MAPK Signaling Pathway WP382" "36/246" 0.000468959465648928 0.0184457389821912 0 0 1.78792258295216 13.7044162649239 "LRRK2;CACNA1A;NLK;FGF1;FGF2;CACNA1E;RASGRP1;EGFR;CRKL;ELK4;FGF7;CASP3;AKT3;MAP3K7;MAP2K6;MAP3K2;MEF2C;CHUK;PRKCA;BRAF;GNG12;TGFBR1;MAPK13;MAPK10;CACNB4;TAOK3;TRAF6;RASA2;NF1;FAS;GRB2;MAPKAPK5;KRAS;MAP3K13;LAMTOR3;FGFR2"
"13" "Chromosomal and microsatellite instability in colorectal cancer  WP4216" "15/73" 0.00072244601311975 0.0262303475532709 0 0 2.51043924318625 18.1576753242947 "SMAD2;GSK3B;AXIN1;BRAF;PTGS2;TGFBR1;CASP9;MAPK10;APC;CASP3;AKT3;REL;KRAS;POLK;APPL1"
"14" "Non-small cell lung cancer WP4255" "14/66" 0.000770858534867546 0.0259889448898201 0 0 2.59158475407712 18.5764942475282 "PRKCA;BRAF;PIK3CB;EGFR;CASP9;EML4;CDK6;PIK3CA;AKT3;PLCG2;KRAS;GRB2;POLK;RXRG"
"15" "Integrated Breast Cancer Pathway WP1984" "24/151" 0.00125227421555589 0.0394048953161585 0 0 1.94184969274274 12.9769814916349 "SMAD2;BARD1;USP15;CHUK;RALGAPA1;NAB1;CSNK1D;BRAF;AHR;HMGCR;TFPI;MYT1;SIRT1;TGFBR1;EGFR;CASP9;AR;CREB1;PKIA;CASP3;NF1;KRAS;MAP3K13;BMPR1A"
"16" "Insulin Signaling WP481" "25/160" 0.00128654623446801 0.0379531139168062 0 0 1.90897984117288 12.7057765514445 "GSK3B;PRKAA2;STXBP4;IRS4;CBLB;PIK3CB;PIK3C2A;RPS6KA6;KIF5B;ENPP1;MAP3K7;MAP2K6;MAP3K2;PRKCH;GAB1;PRKCA;PTPN11;MAPK13;MAPK10;PIK3CA;GRB2;PIK3C3;SGK3;MAP3K13;ARF6"
"17" "MECP2 and Associated Rett Syndrome WP3584" "13/62" 0.00131471468155074 0.0365026664524675 0 0 2.56172778686425 16.9948495316546 "MEF2C;ARHGEF26;CAMK2A;TET2;TET1;OPRK1;FGF2;MYT1;POU3F2;NCOR1;CREB1;NF1;MBP"
"18" "Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664" "6/17" 0.00167338898591865 0.0438799778529779 0 0 4.31204858241403 27.5665142519639 "GSK3B;SFRP4;LRP1;APC;AXIN1;MBOAT1"
"19" "Bone Morphogenic Protein (BMP) Signalling and Regulation WP1425" "5/12" 0.00177263838188272 0.0440360692762443 0 0 5.09061290979434 32.2504898748797 "TOB2;BMPR1B;TOB1;RUNX2;BMPR1A"
"20" "EGF/EGFR Signaling Pathway WP437" "24/162" 0.00326705021034476 0.0771023849641363 0 0 1.80999570126021 10.3601760719217 "MAP3K2;MEF2C;ROCK1;CAMK2A;GAB1;CBLB;PRKCA;BRAF;PTPN11;PTPN12;EGFR;CRKL;ELK4;CREB1;INPP5D;NEDD4;REPS2;GRB2;KRAS;STAM2;EPS15;MEF2D;NCK1;ARF6"
"21" "Neural Crest Differentiation WP2064" "17/101" 0.00331306382163596 0.0744650535148653 0 0 2.05640600712484 11.7418354223711 "HDAC4;GSK3B;FZD3;AXIN1;MITF;OLIG2;ZIC5;HDAC8;FGF2;DMBX1;DLL4;PRTG;ZIC1;DVL3;SNAI2;MBP;FGFR2"
"22" "Regulation of Microtubule Cytoskeleton WP2038" "10/46" 0.00349319404964771 0.0749448905197145 0 0 2.65597195293618 15.0246706882587 "GSK3B;SPRED1;ROCK1;APC;PIK3CA;CFL2;CAMK4;PRKCA;CLASP1;MARK1"
"23" "Wnt Signaling Pathway and Pluripotency WP399" "17/102" 0.00367962793366288 0.0755123645516903 0 0 2.03624516391774 11.4130393746603 "GSK3B;FZD3;PRKCH;FZD2;LRRK2;AXIN1;PRKCA;NLK;MAPK10;APC;PPP2R5E;PPP2R2B;DVL3;PRKD1;MAP3K7;WNT3;CD44"
"24" "miRNA regulation of prostate cancer signaling pathways WP3981" "8/33" 0.0043053231847743 0.0846713559672279 0 0 2.96181114751671 16.1356600491315 "CASP9;GSK3B;AR;PIK3CA;AKT3;PLCL2;KRAS;GRB2"
"25" "Cardiac Hypertrophic Response WP2795" "11/55" 0.00443805662255482 0.0837905090338351 0 0 2.44349419670128 13.2377243640277 "HDAC4;GSK3B;CHUK;NRG1;PRKCA;PRKD1;FGF2;MAP3K7;TGFBR1;FGFR2;MAP2K6"
"26" "Rett syndrome causing genes WP4312" "10/48" 0.00482801350065301 0.0876470143195469 0 0 2.54530645489717 13.5749342787279 "GRIN2A;MEF2C;NCOR1;TBL1XR1;BRAF;HIVEP2;HDAC8;SMC1A;GRIN2B;SCN1A"
"27" "VEGFA-VEGFR2 Signaling Pathway WP3888" "31/236" 0.00598672741737603 0.104656864481537 0 0 1.60483729020635 8.21389484028926 "HDAC4;GSK3B;FLT1;PRKAA2;ROCK1;FAF1;PTGS2;DLL4;DNAJB9;EPS15;EIF2A;MAP2K6;NCK1;KL;MEF2C;JAG1;GAB1;PRKCA;PTPN11;DKK1;INPP4B;OCLN;CREB1;PIK3CA;FAS;GRB2;MAPKAPK5;PRKD1;ATF6;HBEGF;ARF6"
"28" "Synaptic signaling pathways associated with autism spectrum disorder WP4539" "10/50" 0.00653335714645633 0.11013373475455 0 0 2.44349419670128 12.2928145548067 "GSK3B;GRIN2A;PRKAA2;PIK3CA;CAMK4;AKT3;NF1;KRAS;PIK3CB;GRIN2B"
"29" "Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380" "21/144" 0.00681283506943946 0.110884763888808 0 0 1.78171451842802 8.88887918699906 "MAP3K2;GRIA2;GSK3B;LINGO1;MEF2C;PRKAA2;KSR1;CHUK;CAMK2A;PTPN11;GRIN2B;MAPK10;DLG1;MARCKS;CREB1;APC;CASP3;TRAF6;CAMK4;GRB2;NCK1"
"30" "Gastric Cancer Network 1 WP2361" "7/29" 0.00762345020637789 0.119942283247012 0 0 2.94904472015672 14.3810939276589 "ESM1;INO80D;APC;H3F3A;LIN9;E2F7;KIF15"
"31" "MAPK Cascade WP422" "7/29" 0.00762345020637789 0.116073177335818 0 0 2.94904472015672 14.3810939276589 "MAP3K2;MAPK10;MAP2;MBP;BRAF;KRAS;MAP2K6"
"32" "MET in type 1 papillary renal cell carcinoma WP4205" "11/59" 0.00769006051950713 0.11342839266273 0 0 2.27783357319611 11.0880989162866 "PIK3CA;AKT3;GAB1;PTPN11;BRAF;KRAS;GRB2;STRN;PIK3CB;CRKL;C8ORF34"
