"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "TargetScan microRNA 2017" "47/101" 8.66527686584085e-25 1.0398332239009e-22 0 0 5.68535778440397 314.99897326667 "SLC24A2;INO80D;ANKRD33B;CSRNP3;DCUN1D5;BNC2;FAXC;SYNPO2;TOR1AIP2;RORA;IKZF2;CACNA1E;LPP;PTAR1;GRIN2A;IPO9;SH3TC2;FUT9;UBN2;PSD3;ABL2;KCNN3;SOX6;RIMKLA;DISC1;MBNL3;PLXNA4;SCAI;SOCS4;FZD3;POU2F1;PRKCA;HELZ;C1ORF21;PHC3;PTPN14;ACVR2B;DCLK1;QKI;MKLN1;CDK6;ASPH;NFIA;DOK6;AAK1;STRN;VGLL3"
"2" "MGI Mammalian Phenotype 2017" "23/100" 4.48273374763647e-06 0.000268964024858188 0 0 2.81001832620648 34.6061554283004 "KL;CSF1;CHUK;CHD7;CACNA1A;SIX1;MITF;PTPN11;AHR;PTGS2;SIRT1;RUNX2;PAX2;EGFR;GHR;PTPRC;ZEB1;APC;FSHR;FAS;IL6ST;FGFR2;FBN1"
"3" "MGI Mammalian Phenotype 2013" "22/100" 1.52936870085599e-05 0.000611747480342397 0 0 2.68784361637141 29.8029993192117 "PDGFRA;CSF1;CHUK;MITF;PTPN11;AHR;DICER1;GATA3;PTGS2;HIF1A;LYST;SIRT1;EGFR;APC;NF1;FAS;KRAS;IL6ST;CFTR;FGFR2;FBN1;BMPR1A"
"4" "TargetScan microRNA" "25/127" 3.15880253359859e-05 0.000947640760079577 0 0 2.40501397313118 24.9225163522984 "NFAT5;PLAG1;STC1;NLK;AFF4;PHF6;AP1G1;TRPS1;CAMTA1;PPARGC1A;PDGFRA;MEF2C;BCL11B;SEMA6D;TCF12;ESRRG;ARID1A;RSBN1;QKI;CNOT6;TBL1XR1;NOVA1;CPEB2;OGT;CPEB4"
"5" "MGI Mammalian Phenotype Level 4" "22/105" 3.4201274552439e-05 0.000820830589258535 0 0 2.55985106321087 26.3235824223695 "PDGFRA;CSF1;CHUK;MITF;PTPN11;AHR;DICER1;GATA3;PTGS2;HIF1A;LYST;SIRT1;EGFR;APC;NF1;FAS;KRAS;IL6ST;DNM1L;FGFR2;FBN1;BMPR1A"
"6" "dbGaP" "21/106" 0.000119800457956535 0.0023960091591307 0 0 2.42044236465693 21.8558273927119 "ABCA1;ROBO2;CNTNAP2;THSD7B;NEGR1;NRXN1;NRXN3;RORA;NRG1;GRIK2;FMN2;PLXDC2;LPP;LRP1B;PTPRD;FAM155A;GRM7;PALLD;CTNNA3;CNTN4;MDGA2"
"7" "TF-LOF Expression from GEO" "23/124" 0.000165513105866191 0.00283736752913471 0 0 2.26614381145683 19.730090849257 "ABCA1;NRP1;CXADR;CADM1;GSTO1;CELF2;HSPB8;PCDH7;LPP;MARCKS;SOAT1;ASPH;OSTM1;TBL1XR1;NFIB;IVD;TTC3;PIP4K2A;IDS;TGFBI;PDLIM5;CD44;TMPO"
"8" "MGI Mammalian Phenotype Level 3" "21/112" 0.000267781333693945 0.00401672000540918 0 0 2.29077580940745 18.8424095056864 "PDGFRA;CSF1;CHUK;MITF;AP3B1;PTPN11;AHR;DICER1;GATA3;NR3C1;PTGS2;HIF1A;LYST;SIRT1;EGFR;APC;FAS;KRAS;IL6ST;FGFR2;BMPR1A"
"9" "Genome Browser PWMs" "19/102" 0.000559782001337207 0.00746376001782942 0 0 2.27580341849629 17.0411320964565 "MEF2C;POU2F1;BCL11B;BNC2;LMO4;PLAG1;ELAVL4;MITF;ESRRG;ETV1;PRDM1;NOL4;TOB1;ELAVL2;PPP2R2B;JARID2;PPARGC1A;HOXB6;PDZRN4"
"10" "WikiPathways 2016" "19/104" 0.000718048534478212 0.00861658241373854 0 0 2.23203796814059 16.1576634667369 "GSK3B;MEF2C;CHUK;PRKCA;BRAF;PTPN11;PIK3CB;EGFR;CASP9;MAPK10;CREB1;PIK3CA;APC;CASP3;FAS;GRB2;KRAS;MAP3K7;MAP2K6"
"11" "KEGG 2016" "19/105" 0.00081067277871359 0.00884370304051189 0 0 2.21078046368211 15.7355528657906 "GSK3B;CHUK;CAMK2A;ITPR2;PRKCA;BRAF;PIK3CB;ADCY7;EGFR;MAPK13;MAPK10;CREB1;PIK3CA;CASP3;AKT3;PLCG2;GRB2;KRAS;PLCB1"
"12" "WikiPathways 2015" "20/114" 0.000897913247877809 0.00897913247877809 0 0 2.14341596201867 15.0369998612255 "GSK3B;CHUK;ROCK1;PRKCA;BRAF;PTPN11;PIK3CB;EGFR;CASP9;MAPK10;CREB1;PIK3CA;APC;CASP3;TRAF6;FAS;GRB2;KRAS;MAP3K7;MAP2K6"
"13" "Human Gene Atlas" "20/116" 0.00112279477024815 0.0103642594176752 0 0 2.10646051439766 14.3069415694484 "CAST;COL16A1;ABHD2;ANKRD12;ERAP1;SLCO6A1;LARP4;AKAP13;PDZD2;TTC3;PPFIA1;HNRNPD;NF1;IDS;TNIK;IL6ST;PDLIM5;SSX2IP;TRPM3;FGFR2"
"14" "GO Molecular Function 2017" "18/104" 0.00185631782727048 0.0159112956623184 0 0 2.11456228560688 13.2988214240953 "SMAD2;ABCA1;HDAC4;GSK3B;MEF2C;LRRK2;BHLHE41;DAB2IP;AHR;GATA3;HMGB1;HIF1A;EGFR;NSD1;TDG;GRB2;PPARGC1A;SNCA"
"15" "WikiPathways 2013" "20/122" 0.00210723649185702 0.0168578919348562 0 0 2.00286409565679 12.3424054586567 "GSK3B;PRKCH;CHUK;CAMK2A;GAB1;PRKCA;BRAF;PTPN11;PIK3CB;EGFR;CRKL;CASP9;MAPK10;CREB1;PIK3CA;CASP3;KRAS;PRKD1;MAP3K7;MAP2K6"
"16" "Panther 2015" "17/103" 0.00407899397235466 0.0305924547926599 0 0 2.01647579339426 11.0944580410956 "GSK3B;PRKCH;CHUK;ITPR2;PRKCA;BRAF;PRKX;PIK3CB;ADCY7;MAPK13;MAPK10;PIK3CA;AKT3;PLCG2;GNB4;PIK3C3;PLCB1"
"17" "Panther 2016" "17/104" 0.00451331076951631 0.0318586642554092 0 0 1.99708660307316 10.7857141455175 "GSK3B;PRKCH;ITPR2;PRKCA;BRAF;PRKX;PIK3CB;PIK3C2A;ADCY7;MAPK13;MAPK10;PIK3CA;AKT3;PLCG2;GNB4;PIK3C3;PLCB1"
"18" "KEGG 2015" "17/106" 0.00549575990025171 0.0366383993350114 0 0 1.9594057237699 10.1963132043077 "PDGFRA;GSK3B;PLA2G12A;CHUK;PRKCA;BRAF;PRKX;PIK3CB;EGFR;MAPK10;PIK3CA;RDH11;CASP3;AKT3;PLCG2;GRB2;KRAS"
"19" "GO Molecular Function 2015" "17/108" 0.00664560392140983 0.0419722352931147 0 0 1.92312043258897 9.6421406621393 "KCNH2;HCN4;SLC24A2;HDAC4;MEF2C;LRRK2;BHLHE41;DAB2IP;GATA3;GRIN2B;SIRT1;EGFR;SLC6A4;GRM7;CFTR;SNCA;HCN1"
"20" "GO Biological Process 2015" "16/100" 0.00710007558166062 0.0426004534899637 0 0 1.95479535736103 9.67164295601655 "GSK3B;MEF2C;DAB2IP;PRKCA;GATA3;PTGS2;HIF1A;SIRT1;EGFR;PTPRC;APC;TRAF6;NF1;AGTR2;FGFR2;SNCA"
"21" "ARCHS4 Tissues" "17/109" 0.00728941246957537 0.0416537855404307 0 0 1.90547712586797 9.37748618405165 "YAP1;STARD13;COL16A1;HSPB8;COL12A1;DAB2IP;PTPN21;GNG12;EGFR;PARD3B;ADAMTSL1;COL4A1;SNAI2;HMCN1;FAT4;SPATA18;TEAD1"
"22" "Virus Perturbations from GEO down" "18/119" 0.00806907360559966 0.0440131287578163 0 0 1.84802082103458 8.90693662483919 "COPA;H3F3A;ACYP2;PTPN11;TMEM64;CLCN3;DYNC1LI2;TMX4;NUDT7;BTBD1;TBL1XR1;PPP2R5E;STRAP;NHLRC2;SEPHS1;SSBP3;SEC63;VTI1B"
"23" "KEGG 2013" "19/130" 0.00951317704647165 0.0496339671989825 0 0 1.78563037451248 8.31224757244789 "PDGFRA;GSK3B;PLA2G12A;CHUK;PRKCA;BRAF;PRKX;PIK3CB;EGFR;CASP9;MAPK10;PIK3CA;RDH11;CASP3;AKT3;PLCG2;GRB2;KRAS;PLCB1"
"24" "Human Phenotype Ontology" "16/104" 0.0103003519270343 0.0515017596351716 0 0 1.87961092053945 8.60030490420002 "COL11A1;CHD7;BRAF;ABCC9;PTPN11;PEX1;HDAC8;RUNX2;FIG4;PIK3CA;SETBP1;NSD1;KRAS;ERCC6;FGFR2;FBN1"
"25" "KEA 2013" "16/106" 0.0122799942868857 0.0589439725770512 0 0 1.84414656354814 8.11384621477498 "SMAD2;GSK3B;PTPN11;TGFBR1;EGFR;CRKL;AR;CREB1;CASP3;TRAF6;MBP;GRB2;PRKD1;MAP3K7;NCK1;SNCA"
"26" "GO Biological Process 2017b" "15/100" 0.0158459137485541 0.0731349865317883 0 0 1.83262064752596 7.59592599797035 "MBD4;MEF2C;LRRK2;DAB2IP;AHR;GATA3;HMGB1;HIF1A;SIRT1;TGFBR1;PAX2;EGFR;EREG;TRAF6;FGFR2"
"27" "Reactome 2015" "15/101" 0.0172470178524976 0.076653412677767 0 0 1.81447588863957 7.36698263891203 "GSK3B;CHUK;PRKCA;PTPN11;PIK3CB;FGF1;FGF2;CREB1;PIK3CA;PSMB2;POLR2F;GRB2;KRAS;IL6ST;POLR2K"
