"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "ErbB signaling pathway" "21/85" 3.45088871362082e-06 0.00106287372379521 0 0 3.01843400768982 37.9624785656398 "GSK3B;CAMK2A;GAB1;CBLB;NRG1;PRKCA;BRAF;PIK3CB;EGFR;CRKL;EREG;BTC;MAPK10;PIK3CA;AKT3;PLCG2;ABL2;KRAS;GRB2;NCK1;HBEGF"
"2" "Signaling pathways regulating pluripotency of stem cells" "28/139" 6.88791276693573e-06 0.0010607385661081 0 0 2.46107329164158 29.251683308358 "GSK3B;RIF1;PIK3CB;FGF2;ACVR1C;AKT3;DVL3;JARID2;LEFTY2;WNT3;SMAD2;FZD3;FZD2;PCGF5;AXIN1;INHBB;INHBA;ACVR2B;INHBE;MAPK13;PIK3CA;APC;GRB2;KRAS;IL6ST;BMPR1B;FGFR2;BMPR1A"
"3" "Colorectal cancer" "18/86" 0.00017409175707152 0.0178734203926761 0 0 2.55714508957111 22.1344639298421 "SMAD2;GSK3B;AXIN1;BRAF;PIK3CB;TGFBR1;EGFR;EREG;CASP9;MAPK10;PIK3CA;APC;CASP3;AKT3;KRAS;GRB2;POLK;APPL1"
"4" "Nicotine addiction" "11/40" 0.000266632734750518 0.0205307205757899 0 0 3.35980452046426 27.6499762031794 "GRIA2;GABRB2;GABRP;GABRA1;GRIN2A;GABRA6;GABRA5;GABRA4;CACNA1A;SLC17A8;GRIN2B"
"5" "MAPK signaling pathway" "42/295" 0.000302743259509124 0.018648984785762 0 0 1.7394365468043 14.0940028153905 "FLT1;CSF1;CACNA1A;NLK;FGF1;FGF2;CACNA1E;RASGRP1;EGFR;CRKL;ELK4;RPS6KA6;FGF7;PDGFD;CASP3;AKT3;MAP3K7;MAP2K6;MAP3K2;PDGFRA;MEF2C;CHUK;PRKCA;BRAF;GNG12;TGFBR1;EREG;MAPK13;MAPK10;CACNB4;TAOK3;TRAF6;RASA2;NF1;FAS;GRB2;MAPKAPK5;KRAS;MAP3K13;LAMTOR3;MYD88;FGFR2"
"6" "Ras signaling pathway" "35/232" 0.000313590762659218 0.0160976591498399 0 0 1.84315295009795 14.8694921534597 "FLT1;CSF1;RASAL2;PIK3CB;FGF1;FGF2;RASGRP1;EGFR;ETS2;GRIN2A;FGF7;PDGFD;AKT3;PLCG2;ABL2;SHOC2;PDGFRA;PLA2G12A;KSR1;CHUK;GAB1;PRKCA;PTPN11;GNG12;GRIN2B;MAPK10;PIK3CA;RASA2;REL;GNB4;NF1;GRB2;KRAS;FGFR2;ARF6"
"7" "TNF signaling pathway" "20/110" 0.00056168092244066 0.024713960587389 0 0 2.22135836063753 16.6259268572622 "JAG1;CSF1;CHUK;IL15;DAB2IP;TNFAIP3;PIK3CB;PTGS2;MAPK13;MAPK10;CREB1;PIK3CA;TRAF3;CASP3;AKT3;FAS;DNM1L;MAP3K7;BIRC2;MAP2K6"
"8" "Endometrial cancer" "13/58" 0.00067841809375785 0.0261190966096772 0 0 2.73839866871695 19.9786633315879 "GSK3B;AXIN1;BRAF;PIK3CB;EGFR;CASP9;PIK3CA;APC;AKT3;CTNNA3;KRAS;GRB2;POLK"
"9" "Non-small cell lung cancer" "14/66" 0.000770858534867546 0.0263804920821338 0 0 2.59158475407712 18.5764942475282 "PRKCA;BRAF;PIK3CB;EGFR;CASP9;EML4;CDK6;PIK3CA;AKT3;PLCG2;KRAS;GRB2;POLK;RXRG"
"10" "Gastric cancer" "24/149" 0.00103606693921268 0.0319108617277506 0 0 1.96791478928962 13.5241470998447 "SMAD2;GSK3B;FZD3;FZD2;GAB1;AXIN1;BRAF;PIK3CB;FGF1;FGF2;TGFBR1;EGFR;FGF7;PIK3CA;APC;AKT3;DVL3;GRB2;CTNNA3;KRAS;POLK;RXRG;WNT3;FGFR2"
