mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-16-5p,NM_018900,PCDHA1,3406,3428,0.846153846154,-20.3,1,1.226367e-08,0.426,1.5996587142857146,1.5168902975,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_031411,PCDHA1,2614,2636,0.846153846154,-20.3,1,1.226367e-08,0.426,1.5996587142857146,1.5168902975,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018905,PCDHA2,3351,3373,0.846153846154,-20.3,1,1.226367e-08,0.426,1.5186282857142857,1.694146935,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018906,PCDHA3,3251,3273,0.820512820513,-20.3,1,1.226367e-08,0.426,3.5096888571428573,3.9214996749999997,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018907,PCDHA4,3356,3378,0.846153846154,-20.3,1,1.226367e-08,0.426,1.8311782857142858,1.666798685,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018909,PCDHA6,3421,3443,0.923076923077,-20.3,1,1.226367e-08,0.426,1.2292277142857144,1.04488201875,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_031849,PCDHA6,2629,2651,0.923076923077,-20.3,1,1.226367e-08,0.426,1.2292277142857144,1.04488201875,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_031857,PCDHA9,3975,3997,0.846153846154,-20.3,1,1.226367e-08,0.426,1.5996587142857146,1.5168902975,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018902,PCDHA11,4839,4861,0.846153846154,-20.3,1,1.226367e-08,0.426,1.5996587142857146,1.5168902975,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018903,PCDHA12,3395,3417,0.846153846154,-20.3,1,1.226367e-08,0.426,1.3912905571428573,1.45712955,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018904,PCDHA13,3251,3273,0.820512820513,-20.3,1,1.226367e-08,0.426,2.7225228571428572,3.8232488625,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018898,PCDHAC1,3466,3488,0.846153846154,-20.3,1,1.226367e-08,0.426,1.5996587142857146,1.5168902975,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018899,PCDHAC2,4027,4049,0.923076923077,-20.3,1,1.226367e-08,0.426,0.4189137,1.23834458,-10.202582151200787,17,22,7,3UTR,,1,1
hsa-miR-16-5p,NM_018940,PCDHB7,221,242,0.846153846154,-22.9,1,0.007886568,0.544,-0.23316211111111093,-0.002525207499999995,-9.825983721938503,16,21,9,CDS,,0,0
hsa-miR-16-5p,NM_005642,TAF7,780,802,1.0,-19.9,1,0.006472858,0.5,2.7223703333333336,3.6667337975,-8.09297673201465,16,22,10,CDS,,0,0
hsa-miR-16-5p,NM_018912,PCDHGA1,2115,2137,0.923076923077,-23.6,1,5.31746e-05,0.353,-0.22155400000000003,0.35024042,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_031993,PCDHGA1,2105,2137,1.0,-23.5,1,5.31746e-05,0.353,0.40998080000000003,0.40357934875,-13.223621401949268,13,23,10,CDS,,0,0
hsa-miR-16-5p,NM_018915,PCDHGA2,2327,2349,0.846153846154,-21.2,1,0.0001313506,0.368,0.047285699999999986,-0.017434898750000028,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_032009,PCDHGA2,2327,2349,0.846153846154,-21.2,1,0.0001313506,0.368,0.047285699999999986,-0.017434898750000028,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_018916,PCDHGA3,2115,2137,0.923076923077,-23.6,1,9.224153e-05,0.353,1.04877251,1.8251570062499995,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_032011,PCDHGA3,2091,2137,1.0,-23.5,1,9.224153e-05,0.353,0.6150817099999999,0.26270677875,-13.223621401949268,13,23,10,CDS,,0,0
hsa-miR-16-5p,NM_018917,PCDHGA4,992,1012,0.923076923077,-19.4,1,0.002583514,0.574,0.7274642857142855,-0.20970017500000004,-16.469770495160816,14,20,7,CDS,,0,0
hsa-miR-16-5p,NM_032053,PCDHGA4,992,1012,0.923076923077,-19.4,1,0.002583514,0.574,0.7274642857142855,-0.20970017500000004,-16.469770495160816,14,20,7,CDS,,0,0
hsa-miR-16-5p,NM_032096,PCDHGB2,1819,1829,0.846153846154,-17.5,1,0.008835119,0.338,0.5455301888888888,2.688264235,-11.418273199709544,9,10,9,CDS,,0,0
hsa-miR-16-5p,NM_018918,PCDHGA5,2115,2137,1.0,-23.6,1,0.0004532829,0.397,0.54490904,0.53734641,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_032054,PCDHGA5,2105,2137,1.0,-23.5,1,0.0004532829,0.397,0.9533322200000001,0.7131948749999999,-13.223621401949268,13,23,10,CDS,,0,0
hsa-miR-16-5p,NM_018919,PCDHGA6,2115,2137,1.0,-23.6,1,8.241104e-05,0.382,1.200852092,0.28703352975,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_032086,PCDHGA6,2091,2137,1.0,-23.5,1,8.241104e-05,0.382,0.954981046,0.6128118490000001,-13.223621401949268,13,23,10,CDS,,0,0
hsa-miR-16-5p,NM_032087,PCDHGA7,1806,1821,0.807692307692,-16.7,1,1.401903e-05,0.426,3.604904714285714,1.2052970687499998,-12.686117978685445,14,15,14,CDS,,0,0
hsa-miR-16-5p,NM_018913,PCDHGA10,2127,2149,1.0,-23.6,1,7.595196e-05,0.353,0.51775637,0.2955883099999999,-13.223621401949268,13,22,10,CDS,,0,0
hsa-miR-16-5p,NM_032090,PCDHGA10,2103,2149,1.0,-23.5,1,7.595196e-05,0.353,-0.026329699999999966,0.6311079150000001,-13.223621401949268,13,23,10,CDS,,0,0
hsa-miR-16-5p,NM_018914,PCDHGA11,2352,2398,1.0,-22.8,1,0.0005648913,0.441,-0.97838187,0.8894527512500001,-11.398282843874613,16,23,10,CDS,,0,0
hsa-miR-16-5p,NM_032091,PCDHGA11,2387,2398,0.923076923077,-17.6,1,0.0005648913,0.441,0.17627822999999998,0.6135229937499999,-13.223621401949268,10,11,10,CDS,,0,0
hsa-miR-16-5p,NM_018929,PCDHGC5,1977,1993,0.892307692308,-19.9,1,2.135386e-06,0.426,0.4162377688888889,2.5711462835,-14.466127870277449,13,16,9,CDS,,0,0
hsa-miR-16-5p,NM_032407,PCDHGC5,1977,1993,0.892307692308,-19.9,1,2.135386e-06,0.426,1.0163597777777778,1.9013400075,-14.466127870277449,13,16,9,CDS,,0,0
hsa-miR-16-5p,NM_173828,RELL2,936,971,0.846153846154,-21.4,1,0.000925716,0.368,0.42932281750000006,0.6556288731250001,-14.243047675119893,13,23,8,5UTR,,0,0
hsa-miR-16-5p,NM_033449,FCHSD1,4054,4073,1.0,-19.4,1,0.0002521882,0.353,2.2114192000000004,2.19657305625,-10.385104819293819,12,19,9,3UTR,,0,1
hsa-miR-16-5p,NM_022481,ARAP3,3290,3311,0.846153846154,-18.5,1,0.002171931,0.412,2.595632557142857,2.31314524625,-13.89326466567703,14,21,7,CDS,,0,0
hsa-miR-16-5p,XM_006714792,ARAP3,3070,3091,0.846153846154,-18.5,1,0.002171931,0.412,0.0,0.0,-13.89326466567703,14,21,7,CDS,,0,0
hsa-miR-16-5p,XM_011537677,ARAP3,2709,2730,0.846153846154,-18.5,1,0.002171931,0.412,0.0,0.0,-13.89326466567703,14,21,7,CDS,,0,0
hsa-miR-16-5p,NM_032420,PCDH1,4399,4421,0.923076923077,-23.1,1,0.003518273,0.338,3.567704,3.4512225362499995,-6.618099312767468,17,22,9,3UTR,,1,0
hsa-miR-16-5p,NM_001257207,FGF1,201,223,0.846153846154,-17.6,1,2.869836e-05,0.471,-0.3743250285714286,-0.05248967124999995,-13.768871513965312,14,22,7,5UTR,,1,0
hsa-miR-16-5p,NM_015071,ARHGAP26,5091,5103,1.0,-17.3,1,0.007445363,0.603,-0.12521548181818187,0.11421137125,-10.39884692653892,11,12,11,3UTR,,1,0
hsa-miR-16-5p,NM_015071,ARHGAP26,5761,5781,0.846153846154,-17.4,1,0.0001626408,0.529,-0.200822,-0.24721694749999998,-9.884564781105134,16,20,12,3UTR,,1,0
hsa-miR-16-5p,NM_001135608,ARHGAP26,4926,4938,1.0,-17.3,1,0.007445363,0.603,-0.12521548181818187,0.11421137125,-10.39884692653892,11,12,11,3UTR,,1,0
hsa-miR-16-5p,NM_001135608,ARHGAP26,5596,5616,0.846153846154,-17.4,1,0.0001626408,0.529,-0.200822,-0.24721694749999998,-9.884564781105134,16,20,12,3UTR,,1,0
hsa-miR-16-5p,NM_001349547,ARHGAP26,4439,4451,1.0,-17.3,1,0.007445363,0.603,0.14024713636363637,0.18253407500000005,-10.39884692653892,11,12,11,3UTR,,1,0
hsa-miR-16-5p,NM_001349547,ARHGAP26,5109,5129,0.846153846154,-17.4,1,0.0001626408,0.529,0.27005271428571426,-0.3797080287499999,-9.884564781105134,16,20,12,3UTR,,1,0
hsa-miR-16-5p,NM_001018076,NR3C1,1473,1494,0.846153846154,-18.5,1,0.001202274,0.588,0.4435981666666667,0.9309451149999998,-9.395960284116024,15,21,9,CDS,,0,0
hsa-miR-16-5p,NM_000176,NR3C1,1847,1868,0.846153846154,-18.5,1,0.001202274,0.588,1.3050152222222222,1.8312338724999997,-9.395960284116024,15,21,9,CDS,,0,0
hsa-miR-16-5p,NM_001024094,NR3C1,1850,1871,0.846153846154,-18.5,1,0.001200984,0.588,1.4342275555555557,1.9106996224999997,-9.395960284116024,15,21,9,CDS,,0,0
hsa-miR-16-5p,XM_005268423,NR3C1,1631,1652,0.846153846154,-18.5,1,0.001200984,0.588,0.0,0.0,-9.395960284116024,15,21,9,CDS,,0,0
hsa-miR-16-5p,XM_017009136,SH3RF2,3944,3966,1.0,-19.9,1,0.01385315,0.574,0.0,0.0,-4.528774397607753,18,22,10,3UTR,,0,0
hsa-miR-16-5p,XM_017009136,SH3RF2,2693,2716,1.0,-20.2,1,0.0006084539,0.5,0.0,0.0,-9.430348285984671,17,23,11,3UTR,,0,0
hsa-miR-16-5p,XM_005268468,RBM27,255,287,0.846153846154,-18.2,1,0.0003141494,0.5,0.0,0.0,-8.95300237813561,16,19,11,CDS,,0,0
hsa-miR-16-5p,NM_001271899,PPP2R2B,1899,1928,0.923076923077,-18.7,1,0.001942367,0.574,0.8719715470588236,0.9168755687499999,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_001271900,PPP2R2B,2093,2122,0.820512820513,-18.7,1,0.001942367,0.574,-0.23424341176470587,0.062472562500000044,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_181678,PPP2R2B,1869,1898,1.0,-18.7,1,0.001942367,0.574,0.7269631352941177,1.518990095,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_181676,PPP2R2B,2030,2059,0.846153846154,-18.7,1,0.001942367,0.574,3.831008117647059,3.8326157,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_181674,PPP2R2B,2224,2253,0.846153846154,-18.7,1,0.001942367,0.574,3.831008117647059,3.8326157,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_181675,PPP2R2B,1946,1975,1.0,-18.7,1,0.001942367,0.574,1.0971050929411763,1.3412354695,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_001271948,PPP2R2B,2426,2455,1.0,-18.7,1,0.001942367,0.574,1.0971050929411763,1.2840252570000001,-5.180080914529843,19,29,8,3UTR,,0,0
hsa-miR-16-5p,NM_001287740,STK32A,3441,3454,0.820512820513,-16.3,1,0.000503423,0.574,-0.4954960116666666,-0.27422849562499996,-5.925499359926538,12,13,12,3UTR,,1,0
hsa-miR-16-5p,NM_001197294,DPYSL3,2940,2978,0.846153846154,-24.9,1,0.1432821,0.529,2.0672124864864863,1.71298828625,-3.793324837357118,21,38,13,3UTR,,0,0
hsa-miR-16-5p,NM_001387,DPYSL3,2510,2548,0.923076923077,-24.9,1,0.1432821,0.529,0.35470206459459463,0.5102818737499999,-3.793324837357118,21,38,13,3UTR,,0,0
hsa-miR-16-5p,NM_205841,SPINK6,552,576,1.0,-18.4,1,0.0004456363,0.588,0.0,0.0,-9.02428166311082,17,24,10,3UTR,,0,0
hsa-miR-16-5p,NM_001195290,SPINK6,425,449,0.923076923077,-18.4,1,0.0004456363,0.588,-0.05299229999999999,0.9332772912499998,-9.02428166311082,17,24,10,3UTR,,0,0
hsa-miR-16-5p,NM_030793,FBXO38,3269,3285,0.846153846154,-17.5,1,0.0002113306,0.485,4.4920944,5.15437118375,-9.095974206627575,14,16,9,CDS,,0,0
hsa-miR-16-5p,NM_001271723,FBXO38,2759,2775,0.846153846154,-17.5,1,0.0002113306,0.485,1.9291338,5.2615079875,-9.095974206627575,14,16,9,CDS,,0,0
hsa-miR-16-5p,NM_001040172,HTR4,91,116,0.846153846154,-20.1,1,0.0001642197,0.426,3.7010780000000003,2.12334729,-13.353379620878652,15,25,8,CDS,,1,1
hsa-miR-16-5p,NM_000024,ADRB2,793,813,0.846153846154,-18.3,1,0.02400395,0.515,0.7348423749999999,3.2532095600000006,-11.506164217401057,16,20,8,CDS,,1,1
hsa-miR-16-5p,NM_000024,ADRB2,412,433,0.923076923077,-17.7,1,0.0008214102,0.471,2.6619421666666665,3.7487694174999993,-12.961959734580862,14,21,8,CDS,,1,1
hsa-miR-16-5p,NM_000024,ADRB2,1804,1826,1.0,-16.9,1,0.00321634,0.662,0.8220636272727273,1.3369737599999998,-6.551503578753875,18,22,9,3UTR,,1,1
hsa-miR-16-5p,NM_024577,SH3TC2,2003,2014,1.0,-18.8,1,3.892212e-05,0.338,0.1684209,-0.03397582500000001,-8.071469890113187,10,11,10,CDS,,0,0
hsa-miR-16-5p,NM_152407,GRPEL2,1480,1501,0.846153846154,-19.1,1,0.003058077,0.574,0.32914625,0.05776222125000002,-14.243047675119893,13,21,8,3UTR,MIRT031759,0,0
hsa-miR-16-5p,NM_152407,GRPEL2,3568,3589,0.846153846154,-17.1,1,0.0005232081,0.618,0.35473174999999996,0.054281680000000006,-7.219708015936543,17,21,10,3UTR,MIRT031759,0,0
hsa-miR-16-5p,XM_024446205,PCYOX1L,1492,1510,0.846153846154,-15.9,1,7.904983e-05,0.544,0.0,0.0,-12.712481855719549,13,18,10,3UTR,,0,0
hsa-miR-16-5p,NM_000440,PDE6A,1890,1909,0.846153846154,-18.1,1,9.202357e-05,0.426,0.5751961285714285,-0.07113852625000001,-11.310986975940136,13,19,9,CDS,,0,0
hsa-miR-16-5p,NM_005211,CSF1R,1870,1886,0.846153846154,-18.7,1,0.00108405,0.471,2.27080525,4.885863525375001,-6.819302662522082,15,16,15,CDS,,0,0
hsa-miR-16-5p,NM_005211,CSF1R,2639,2651,0.923076923077,-17.0,1,7.492923e-05,0.397,0.3803182272727273,1.4819314638749996,-10.39884692653892,11,12,11,CDS,,0,0
hsa-miR-16-5p,NM_001025158,CD74,1101,1144,0.923076923077,-18.4,1,0.0006263467,0.471,1.0525167142857144,0.9621138825,-9.113001279259901,17,22,10,3UTR,,0,0
hsa-miR-16-5p,NM_004355,CD74,1285,1328,0.923076923077,-18.4,1,0.0006263467,0.471,1.0525167142857144,0.9621138825,-9.113001279259901,17,22,10,3UTR,,0,0
hsa-miR-16-5p,NM_001025159,CD74,1477,1520,0.923076923077,-18.4,1,0.0006263467,0.471,1.0525167142857144,0.9621138825,-9.113001279259901,17,22,10,3UTR,,0,0
hsa-miR-16-5p,XM_017010089,CD74,1616,1652,0.846153846154,-18.4,1,0.0006263467,0.471,0.0,0.0,-9.113001279259901,17,22,10,3UTR,,0,0
hsa-miR-16-5p,NM_001301063,NDST1,1296,1310,0.815384615385,-19.9,1,2.310846e-06,0.426,5.076313777777778,4.3424876,-14.466127870277449,13,14,13,CDS,,0,0
hsa-miR-16-5p,NM_001543,NDST1,1209,1223,0.892307692308,-19.9,1,2.310846e-06,0.426,2.248228222222222,3.7044202000000004,-14.466127870277449,13,14,13,CDS,,0,0
hsa-miR-16-5p,NM_001122853,MYOZ3,611,627,0.846153846154,-19.5,1,2.58046e-07,0.397,2.114664142857143,1.8859359900000008,-12.763409488335926,15,16,15,CDS,,0,0
